idx,image,exact,canonical_exact,edit_similarity,error_type,ref_len,pred_len,ref,pred,ref_canonical,pred_canonical
841,28b48895e4.png,0,0,98.98,almost_correct,98,97,W_{eff}=-\frac{\mathrm{Pf}M}{2^{N_{c}-1}\Lambda_{N=1}^{2N_{c}+1}}-\frac{1}{2\mu}\mathrm{Tr}(M^{2}),W_{eff}=-\frac{\mathrm{Pf}}{2^{N_{c}-1}\Lambda_{N=1}^{2N_{c}+1}}-\frac{1}{2\mu}\mathrm{Tr}(M^{2}),W_{eff=-\frac\mathrm{Pf}M}{2^{N_{c-1}\Lambda_{N=1^{2N_{c+1-\frac{1}{2\mu}\mathrm{Tr}(M^{2),W_{eff=-\frac\mathrm{Pf}{2^{N_{c-1}\Lambda_{N=1^{2N_{c+1-\frac{1}{2\mu}\mathrm{Tr}(M^{2)
842,752c0e038a.png,1,1,100.0,exact,83,83,\psi_{ab}=2D_{[a}^{\dagger}M_{b]}(M^{\dagger}M)^{-1}\psi+M_{c}^{\dagger}\psi_{abc}.,\psi_{ab}=2D_{[a}^{\dagger}M_{b]}(M^{\dagger}M)^{-1}\psi+M_{c}^{\dagger}\psi_{abc}.,\psi_{ab=2D_{[a^{\dagger}M_{b]}(M^{\dagger}M)^{-1}\psi+M_c^{\dagger}\psi_{abc}.,\psi_{ab=2D_{[a^{\dagger}M_{b]}(M^{\dagger}M)^{-1}\psi+M_c^{\dagger}\psi_{abc}.
843,498fe8419c.png,0,0,91.16,semantic_or_token_error,177,181,\mathrm{Re}n(\omega)=\mathrm{Re}n(\infty)+\frac{2}{\pi}\int_{0}^{\infty}\mathrm{d}\omega^{\prime}\frac{\omega^{\prime}\mathrm{Im}n(\omega^{\prime})}{\omega^{\prime2}-\omega^{2}},\mathrm{Re}~n(\omega)~=~\mathrm{Re~}~n(\infty)~+~\frac{2}{\pi}\int_{0}^{\infty}\mathrm{d}\omega^{\prime}~\frac{\omega^{\prime}~\mathrm{Im}~n(\omega^{\prime})}{\omega^{2}-\omega^{2}},\mathrm{Re}n(\omega)=\mathrm{Re}n(\infty)+\frac{2}{\pi}\int_0^{\infty}\mathrm{d}\omega^{\prime}\frac{\omega^{\prime}\mathrm{Im}n(\omega^{\prime)}{\omega^{\prime2-\omega^{2},\mathrm{Re}~n(\omega)~=~\mathrm{Re~}~n(\infty)~+~\frac{2}{\pi}\int_0^{\infty}\mathrm{d}\omega^{\prime}~\frac{\omega^{\prime}~\mathrm{Im}~n(\omega^{\prime)}{\omega^{2-\omega^{2}
844,7a21c515ad.png,1,1,100.0,exact,55,55,"Q(H-E)Q\mid\Psi_{Q}\,\rangle+QHP\mid\Psi_{P}\,\rangle=0","Q(H-E)Q\mid\Psi_{Q}\,\rangle+QHP\mid\Psi_{P}\,\rangle=0",Q(H-E)Q\mid\Psi_{Q}\rangle+QHP\mid\Psi_{P}\rangle=0,Q(H-E)Q\mid\Psi_{Q}\rangle+QHP\mid\Psi_{P}\rangle=0
845,5956930cca.png,1,1,100.0,exact,52,52,V(\phi)=-\frac{1}{2}\phi^{2}+\frac{1}{p+1}\phi^{p+1},V(\phi)=-\frac{1}{2}\phi^{2}+\frac{1}{p+1}\phi^{p+1},V(\phi)=-\frac{1}{2}\phi^{2+\frac{1}{p+1}\phi^{p+1},V(\phi)=-\frac{1}{2}\phi^{2+\frac{1}{p+1}\phi^{p+1}
846,3decfc00d5.png,1,1,100.0,exact,66,66,c_{\hat{j}}(\hat{m})=\sqrt{2(\hat{j}-\hat{m})(\hat{j}+\hat{m}+1)}.,c_{\hat{j}}(\hat{m})=\sqrt{2(\hat{j}-\hat{m})(\hat{j}+\hat{m}+1)}.,c_\hat{j}(\hat{m)=\sqrt{2(\hat{j-\hat{m)(\hat{j+\hat{m+1)}.,c_\hat{j}(\hat{m)=\sqrt{2(\hat{j-\hat{m)(\hat{j+\hat{m+1)}.
847,134da4a4cc.png,1,1,100.0,exact,60,60,\wp^{(1/2)}(x)\equiv\wp(x)+\wp(x+\omega_{1})-\wp(\omega_{1}),\wp^{(1/2)}(x)\equiv\wp(x)+\wp(x+\omega_{1})-\wp(\omega_{1}),\wp^{(1/2)}(x)\equiv\wp(x)+\wp(x+\omega_{1)-\wp(\omega_{1),\wp^{(1/2)}(x)\equiv\wp(x)+\wp(x+\omega_{1)-\wp(\omega_{1)
848,9bc1188cdc.png,0,0,98.104,almost_correct,207,211,"F_{\mu\nu\alpha\beta}=\frac12(\partial_{\mu}\partial_{\alpha}h_{\nu\beta}-\partial_{\mu}\partial_{\beta}h_{\nu\alpha}-\partial_{\nu}\partial_{\alpha}h_{\mu\beta}+\partial_{\nu}\partial_{\beta}h_{\mu\alpha}),","F_{\mu\nu\alpha\beta}=\frac{1}{2}(\partial_{\mu}\partial_{\alpha}h_{\nu\beta}-\partial_{\mu}\partial_{\beta}h_{\nu\alpha}-\partial_{\nu}\partial_{\alpha}h_{\mu\beta}+\partial_{\nu}\partial_{\beta}h_{\mu\alpha}),","F_{\mu\nu\alpha\beta=\frac12(\partial_{\mu}\partial_{\alpha}h_{\nu\beta-\partial_{\mu}\partial_{\beta}h_{\nu\alpha-\partial_{\nu}\partial_{\alpha}h_{\mu\beta+\partial_{\nu}\partial_{\beta}h_{\mu\alpha),","F_{\mu\nu\alpha\beta=\frac{1}{2}(\partial_{\mu}\partial_{\alpha}h_{\nu\beta-\partial_{\mu}\partial_{\beta}h_{\nu\alpha-\partial_{\nu}\partial_{\alpha}h_{\mu\beta+\partial_{\nu}\partial_{\beta}h_{\mu\alpha),"
849,7067da3b35.png,1,1,100.0,exact,60,60,h^{\alpha}=|c_{\alpha}|^{2}\sum_{i=1}^{r}v_{\alpha}^{i}H^{i},h^{\alpha}=|c_{\alpha}|^{2}\sum_{i=1}^{r}v_{\alpha}^{i}H^{i},h^{\alpha=|c_{\alpha}|^{2}\sum_{i=1^{r}v_\alpha^{i}H^{i},h^{\alpha=|c_{\alpha}|^{2}\sum_{i=1^{r}v_\alpha^{i}H^{i}
850,584a5601d4.png,0,0,92.647,semantic_or_token_error,68,65,"c_{eff}=1-\frac{8}{4nt}=1-\frac{2(\bar{n}t-3\bar{m}n)^{2}}{nt}\quad,","c_{eff}=1-\frac{8}{4nt}=1-\frac{2(\bar{n}t-3\bar{m}n)^{2}}{nt}~~,","c_{eff=1-\frac{8}{4nt=1-\frac{2(\bar{n}t-3\bar{m}n)^{2}{nt,","c_{eff=1-\frac{8}{4nt=1-\frac{2(\bar{n}t-3\bar{m}n)^{2}{nt}~~,"
851,56ff43dd29.png,1,1,100.0,exact,70,70,"[r_{12},r_{13}]+[r_{12},r_{23}]+[r_{13},r_{23}]=\alpha[t_{13},t_{23}].","[r_{12},r_{13}]+[r_{12},r_{23}]+[r_{13},r_{23}]=\alpha[t_{13},t_{23}].","[r_{12,r_{13]+[r_{12,r_{23]+[r_{13,r_{23]=\alpha[t_{13,t_{23].","[r_{12,r_{13]+[r_{12,r_{23]+[r_{13,r_{23]=\alpha[t_{13,t_{23]."
852,2e8fbeaabd.png,0,0,94.203,semantic_or_token_error,66,69,"\delta_{v}(\delta_{u}B^{a})=D\delta_{v}u^{a}=DDv^{a}=[F,~v]^{a}=0,","\delta_{v}(\delta_{u}B^{a})=D\delta_{v}u^{a}=DDv^{a}=[F,\,\,v]^{a}=0,","\delta_{v}(\delta_{u}B^{a)=D\delta_{v}u^{a=DDv^{a=[F,~v]^{a=0,","\delta_{v}(\delta_{u}B^{a)=D\delta_{v}u^{a=DDv^{a=[F,v]^{a=0,"
853,5f4eea9f83.png,1,1,100.0,exact,101,101,H=\frac{L^{4}}{2}\left(\frac{1}{|\vec{y}-\vec{d}_{1}|^{4}}+\frac{1}{|\vec{y}-\vec{d}_{2}|^{4}}\right),H=\frac{L^{4}}{2}\left(\frac{1}{|\vec{y}-\vec{d}_{1}|^{4}}+\frac{1}{|\vec{y}-\vec{d}_{2}|^{4}}\right),H=\frac{L^{4}{2}(\frac{1}{|\vec{y-\vecd_{1}|^{4+\frac{1}{|\vec{y-\vecd_{2}|^{4),H=\frac{L^{4}{2}(\frac{1}{|\vec{y-\vecd_{1}|^{4+\frac{1}{|\vec{y-\vecd_{2}|^{4)
854,7570329615.png,0,0,89.286,semantic_or_token_error,56,54,\rho(y_{H})=0\quad\textrm{and}\quad\rho(y_{I})=\infty\;.,\rho(y_{H})=0\quad\mathrm{and}\quad\rho(y_{I})=\infty.,\rho(y_{H)=0\textrm{and}\rho(y_{I)=\infty.,\rho(y_{H)=0\mathrm{and}\rho(y_{I)=\infty.
855,60ac6efda3.png,1,1,100.0,exact,63,63,"\left(\nabla_{\mu}\nabla^{\mu}+\frac{1}{6}R\right)\varphi(x)=0,","\left(\nabla_{\mu}\nabla^{\mu}+\frac{1}{6}R\right)\varphi(x)=0,","(\nabla_{\mu}\nabla^{\mu+\frac{1}{6}R)\varphi(x)=0,","(\nabla_{\mu}\nabla^{\mu+\frac{1}{6}R)\varphi(x)=0,"
856,32c293af8e.png,1,1,100.0,exact,43,43,"\beta=2\alpha(n+1)-1,\quadwith\;n=0,1,2,...","\beta=2\alpha(n+1)-1,\quadwith\;n=0,1,2,...","\beta=2\alpha(n+1)-1,withn=0,1,2,...","\beta=2\alpha(n+1)-1,withn=0,1,2,..."
857,7035ede6a4.png,0,0,89.706,semantic_or_token_error,136,124,{\calA}={\frac{{\calF}_{\mathrm{in}}(0)}{{\calF}_{\mathrm{in}}(\infty)}}\simeq4\piu_{0}^{2}q\left\vert{\frac{A}{\alpha}}\right\vert^{2}.,{\calA}=\frac{{\calF}_{\mathrm{in}}(0)}{{\calF}_{\mathrm{in}}(\infty)}\simeq4\piu_{0}^{2}q\left|\frac{A}{\alpha}\right|^{2}.,{\calA=\frac{\calF_\mathrm{in}(0)}{\calF_\mathrm{in}(\infty)}\simeq4\piu_0^{2}q\vert\frac{A}{\alpha}\vert^{2}.,{\calA=\frac{\calF_\mathrm{in}(0)}{\calF_\mathrm{in}(\infty)}\simeq4\piu_0^{2}q|\frac{A}{\alpha}|^{2}.
858,12b83c88c4.png,0,0,89.032,semantic_or_token_error,155,148,"\left|{\frac{dx}{d\lambda}}\right|={\frac{1}{\sqrt{g_{xx}^{E}}}}\sqrt{-{\frac{E^{2}}{g_{tt}^{E}}}-{\frac{(J^{m})^{2}}{g_{\phi_{m}\phi_{m}}^{E}}}-\epsilon},","\left|\frac{dx}{d\lambda}\right|=\frac{1}{\sqrt{g_{xx}^{E}}}\sqrt{-\frac{E^{2}}{g_{tt}^{E}}-\frac{(J^{m})^{2}}{g_{m}^{F}\phi_{m}}^{F_{m}}-\epsilon},","|\frac{dx}{d\lambda}|=\frac{1}\sqrt{g_{xx^{E}\sqrt{-\frac{E^{2}{g_{tt^{E-\frac{(J^{m)^{2}{g_{\phi_{m}\phi_m^{E-\epsilon,","|\frac{dx}{d\lambda}|=\frac{1}\sqrt{g_{xx^{E}\sqrt{-\frac{E^{2}{g_{tt^{E-\frac{(J^{m)^{2}{g_m^{F}\phi_m^{F_{m-\epsilon,"
859,5e38280f69.png,1,1,100.0,exact,93,93,"\eta_{\alpha\beta}\,=\,\mathrm{diag}\,(1,-1,\ldots,-1),\quad\alpha,\,\beta\,=\,0,1,\ldots,D-1","\eta_{\alpha\beta}\,=\,\mathrm{diag}\,(1,-1,\ldots,-1),\quad\alpha,\,\beta\,=\,0,1,\ldots,D-1","\eta_{\alpha\beta=\mathrm{diag}(1,-1,\ldots,-1),\alpha,\beta=0,1,\ldots,D-1","\eta_{\alpha\beta=\mathrm{diag}(1,-1,\ldots,-1),\alpha,\beta=0,1,\ldots,D-1"
860,15b6e7733c.png,1,1,100.0,exact,36,36,(l_{j})_{s}=l_{j}/(3s-P_{j}t^{-1/2}),(l_{j})_{s}=l_{j}/(3s-P_{j}t^{-1/2}),(l_{j)_{s=l_{j}/(3s-P_{j}t^{-1/2),(l_{j)_{s=l_{j}/(3s-P_{j}t^{-1/2)
861,78e47c4148.png,1,1,100.0,exact,58,58,"g_{k}^{(l_{1},l_{2})}\rightarrowc_{1}g_{k}^{(l_{1},l_{2})}","g_{k}^{(l_{1},l_{2})}\rightarrowc_{1}g_{k}^{(l_{1},l_{2})}","g_k^{(l_{1,l_{2)}arrowc_{1}g_k^{(l_{1,l_{2)}","g_k^{(l_{1,l_{2)}arrowc_{1}g_k^{(l_{1,l_{2)}"
862,76e8819433.png,0,0,91.304,semantic_or_token_error,46,43,E_{(phases)}\{\mu_{k}\mu_{k}^{\ast}\}=N_{k}\;.,E_{(phases)}\{\mu_{k}\mu_{k}^{*}\}=N_{k}\;.,E_{(phases)}\{\mu_{k}\mu_k^{\ast}\=N_{k}.,E_{(phases)}\{\mu_{k}\mu_k^{*}\=N_{k}.
863,573423c856.png,0,1,97.826,canonical_equivalent,184,180,"E_{-}^{(2)}=E_{-}-{\frac{\hbar^{2}}{16m^{2}}}\sum_{n=1}^{\infty}{\frac{|p_{2}(0)|^{2}}{E_{1,n}-E_{-}}}\left|\intdx\,\varphi_{1,n}(x)\partial_{x}\theta(x)\right|^{2}\varphi_{2+}(0)^{2}.","E_{-}^{(2)}=E_{-}-\frac{\hbar^{2}}{16m^{2}}\sum_{n=1}^{\infty}\frac{|p_{2}(0)|^{2}}{E_{1,n}-E_{-}}\left|\intdx\,\varphi_{1,n}(x)\partial_{x}\theta(x)\right|^{2}\varphi_{2+}(0)^{2}.","E_{-^{(2)=E_{--\frac{\hbar^{2}{16m^{2}\sum_{n=1^{\infty}\frac{|p_{2}(0)|^{2}{E_{1,n-E_{-}|\intdx\varphi_{1,n}(x)\partial_{x}\theta(x)|^{2}\varphi_{2+}(0)^{2}.","E_{-^{(2)=E_{--\frac{\hbar^{2}{16m^{2}\sum_{n=1^{\infty}\frac{|p_{2}(0)|^{2}{E_{1,n-E_{-}|\intdx\varphi_{1,n}(x)\partial_{x}\theta(x)|^{2}\varphi_{2+}(0)^{2}."
864,6fe9108d3e.png,0,0,94.872,semantic_or_token_error,78,74,\sum_{n}c_{n}f_{n}\*\sum_{m}d_{m}f_{m}=\sum_{m}d_{m}f_{m}\*\sum_{n}c_{n}f_{n}.,\sum_{n}c_{n}f_{n}\sum_{m}d_{m}f_{m}=\sum_{m}d_{m}f_{m}\sum_{n}c_{n}f_{n}.,\sum_{n}c_{n}f_{n}\*\sum_{m}d_{m}f_{m=\sum_{m}d_{m}f_{m}\*\sum_{n}c_{n}f_{n}.,\sum_{n}c_{n}f_{n}\sum_{m}d_{m}f_{m=\sum_{m}d_{m}f_{m}\sum_{n}c_{n}f_{n}.
865,7fae142826.png,0,0,96.774,almost_correct,30,31,ds_{L}^{2}=g_{ij}dx^{i}dx^{j}.,ds_{L}^{2}=g_{ij}dx^{i}dx^{j}~.,ds_L^{2=g_{ij}dx^{i}dx^{j}.,ds_L^{2=g_{ij}dx^{i}dx^{j}~.
866,22256f2026.png,1,1,100.0,exact,51,51,"{\calL}_{A}=-\frac{1}{4}\,F_{\mu\nu}\,F^{\mu\nu}\,,","{\calL}_{A}=-\frac{1}{4}\,F_{\mu\nu}\,F^{\mu\nu}\,,","\calL_{A=-\frac{1}{4}F_{\mu\nu}F^{\mu\nu,","\calL_{A=-\frac{1}{4}F_{\mu\nu}F^{\mu\nu,"
867,7124d72347.png,0,0,93.578,brace_issue,218,212,"N^{(N+l)}(L)\;:=\;\sum_{\{\alpha_{a},\beta_{a},\alpha_{a}^{\prime},\beta_{a}^{\prime}\}}\Bigg\{\prod_{b=1}^{N}\left[\psi_{\alpha_{b}}^{(b)}(-L,0)\;U\Big({\calC}(L)\Big)\;\overline{{\psi}}_{\beta_{b}}^{(b)}(+L,0)\right]","N^{(N+l)}(L):=\sum_{\{\alpha_{a},\beta_{a},\alpha_{a}^{\prime},\beta_{a}^{\prime}\}}\left\{\prod_{b=1}^{N}\left[\psi_{\alpha_{b}}^{(b)}(-L,0)U\Bigl({\calC}(L)\Bigr)\overline{{\psi}}_{\beta_{b}}^{(b)}(+L,0)\right]","N^{(N+l)}(L):=\sum_{\{\alpha_{a,\beta_{a,\alpha_a^{\prime,\beta_a^{\prime}\}\Bigg\{\prod_{b=1^{N}[\psi_{\alpha_b^{(b)}(-L,0)U\Big({\calC}(L)\Big)\overline{\psi_{\beta_b^{(b)}(+L,0)]","N^{(N+l)}(L):=\sum_{\{\alpha_{a,\beta_{a,\alpha_a^{\prime,\beta_a^{\prime}\}\{\prod_{b=1^{N}[\psi_{\alpha_b^{(b)}(-L,0)U\Bigl({\calC}(L)\Bigr)\overline{\psi_{\beta_b^{(b)}(+L,0)]"
868,20bdbc2427.png,1,1,100.0,exact,73,73,\DeltaV\sim\frac{2}{3\pi}\frac{R^{2}}{r^{2}}\operatorname{ln}\frac{r}{R}.,\DeltaV\sim\frac{2}{3\pi}\frac{R^{2}}{r^{2}}\operatorname{ln}\frac{r}{R}.,\DeltaV\sim\frac{2}{3\pi}\frac{R^{2}{r^{2}\operatorname{ln}\frac{r}{R}.,\DeltaV\sim\frac{2}{3\pi}\frac{R^{2}{r^{2}\operatorname{ln}\frac{r}{R}.
869,4693f10365.png,0,0,89.744,semantic_or_token_error,39,35,"F={\frac{Q}{r^{2}}};~~Q=\mathrm{const},","F=\frac{Q}{r^{2}};Q=\mathrm{const},","F=\frac{Q}{r^{2};~~Q=\mathrm{const,","F=\frac{Q}{r^{2};Q=\mathrm{const,"
870,1ac408b290.png,1,1,100.0,exact,66,66,"\delta_{\lambda}B_{m\,\mu\nu}=2\partial_{[\mu}\lambda_{|m|\nu]}\,.","\delta_{\lambda}B_{m\,\mu\nu}=2\partial_{[\mu}\lambda_{|m|\nu]}\,.",\delta_{\lambda}B_{m\mu\nu=2\partial_{[\mu}\lambda_{|m|\nu]}.,\delta_{\lambda}B_{m\mu\nu=2\partial_{[\mu}\lambda_{|m|\nu]}.
871,5491560287.png,0,0,98.507,almost_correct,134,132,"E_{eff(3+1)}=-\frac{B_{m}}{2\pi^{2}}\operatorname{ln}\left(B_{m}/{m_{f}^{2}}\right)\int_{0}^{+\infty}y\left(G(y,B_{m}d^{2})-c\right)dy","E_{eff(3+1)}=-\frac{B_{m}}{2\pi^{2}}\operatorname{ln}\left(B_{m}/m_{f}^{2}\right)\int_{0}^{+\infty}y\left(G(y,B_{m}d^{2})-c\right)dy","E_{eff(3+1)=-\frac{B_{m}{2\pi^{2}\operatorname{ln}(B_{m}/{m_f^{2)\int_0^{+\infty}y(G(y,B_{m}d^{2)-c)dy","E_{eff(3+1)=-\frac{B_{m}{2\pi^{2}\operatorname{ln}(B_{m}/m_f^{2)\int_0^{+\infty}y(G(y,B_{m}d^{2)-c)dy"
872,c0e6eff767.png,1,1,100.0,exact,112,112,"\epsilon_{(0)}^{3}=\epsilon_{(0)}^{4}=0\,,\hspace{1cm}\epsilon_{1(0)}=e^{i\gamma}\gamma^{0}\epsilon_{(0)}^{2}\,.","\epsilon_{(0)}^{3}=\epsilon_{(0)}^{4}=0\,,\hspace{1cm}\epsilon_{1(0)}=e^{i\gamma}\gamma^{0}\epsilon_{(0)}^{2}\,.","\epsilon_{(0)^{3=\epsilon_{(0)^{4=0,\hspace{1cm}\epsilon_{1(0)=e^{i\gamma}\gamma^{0}\epsilon_{(0)^{2}.","\epsilon_{(0)^{3=\epsilon_{(0)^{4=0,\hspace{1cm}\epsilon_{1(0)=e^{i\gamma}\gamma^{0}\epsilon_{(0)^{2}."
873,59e08c0887.png,1,1,100.0,exact,50,50,"m_{2}\circm_{2}+m_{1}\circm_{3}+m_{3}\circm_{1}=0,","m_{2}\circm_{2}+m_{1}\circm_{3}+m_{3}\circm_{1}=0,","m_{2}\circm_{2+m_{1}\circm_{3+m_{3}\circm_{1=0,","m_{2}\circm_{2+m_{1}\circm_{3+m_{3}\circm_{1=0,"
874,5a9c48cdd7.png,1,1,100.0,exact,80,80,\langle\psi_{\ell}|H|\psi_{\ell}\rangle=\langle{\bfa}|H_{SB}(\ell)|{\bfa}\rangle,\langle\psi_{\ell}|H|\psi_{\ell}\rangle=\langle{\bfa}|H_{SB}(\ell)|{\bfa}\rangle,\langle\psi_{\ell}|H|\psi_{\ell}\rangle=\langle{\bfa}|H_{SB}(\ell)|{\bfa}\rangle,\langle\psi_{\ell}|H|\psi_{\ell}\rangle=\langle{\bfa}|H_{SB}(\ell)|{\bfa}\rangle
875,367835aaef.png,0,0,96.512,almost_correct,172,168,"\operatorname*{lim}_{n\to\infty}\mathcal{I}_{n}^{\alpha,a}=\operatorname*{lim}_{n\to\infty}\int_{0}^{\infty}dyn^{(1+a)-\alpha}L_{n}^{\alpha}(2y)y^{a}\operatorname{exp}(-y),","\operatorname*{lim}_{n\to\infty}{\calI}_{n}^{\alpha,a}=\operatorname*{lim}_{n\to\infty}\int_{0}^{\infty}dyn^{(1+a)-\alpha}L_{n}^{\alpha}(2y)y^{a}\operatorname{exp}(-y),","\operatorname*{lim_{n\rightarrow\infty}\mathcalI_n^{\alpha,a=\operatorname*{lim_{n\rightarrow\infty}\int_0^{\infty}dyn^{(1+a)-\alpha}L_n^{\alpha}(2y)y^{a}\operatorname{exp}(-y),","\operatorname*{lim_{n\rightarrow\infty}\calI_n^{\alpha,a=\operatorname*{lim_{n\rightarrow\infty}\int_0^{\infty}dyn^{(1+a)-\alpha}L_n^{\alpha}(2y)y^{a}\operatorname{exp}(-y),"
876,21992e13ea.png,1,1,100.0,exact,80,80,e^{i\theta}=e^{\phi_{0}/2}(q_{1}-q_{2}\overline{{\lambda}}_{0})\Delta_{q}^{-1/2},e^{i\theta}=e^{\phi_{0}/2}(q_{1}-q_{2}\overline{{\lambda}}_{0})\Delta_{q}^{-1/2},e^{i\theta=e^{\phi_{0}/2}(q_{1-q_{2}\overline{\lambda_{0)\Delta_q^{-1/2},e^{i\theta=e^{\phi_{0}/2}(q_{1-q_{2}\overline{\lambda_{0)\Delta_q^{-1/2}
877,85333c1c9f.png,1,1,100.0,exact,98,98,"\deltah_{zz}=\nabla_{z}\xi_{z}\qquad,\qquad\deltah_{\bar{z}\bar{z}}=\nabla_{\bar{z}}\xi_{\bar{z}}.","\deltah_{zz}=\nabla_{z}\xi_{z}\qquad,\qquad\deltah_{\bar{z}\bar{z}}=\nabla_{\bar{z}}\xi_{\bar{z}}.","\deltah_{zz=\nabla_{z}\xi_{z,\deltah_\bar{z}\bar{z=\nabla_\bar{z}\xi_\bar{z}.","\deltah_{zz=\nabla_{z}\xi_{z,\deltah_\bar{z}\bar{z=\nabla_\bar{z}\xi_\bar{z}."
878,363d011f47.png,1,1,100.0,exact,48,48,"(\deltaT_{0})_{2,2}(s_{2}-)=\deltaT_{0}(s_{2}+).","(\deltaT_{0})_{2,2}(s_{2}-)=\deltaT_{0}(s_{2}+).","(\deltaT_{0)_{2,2}(s_{2-)=\deltaT_{0}(s_{2+).","(\deltaT_{0)_{2,2}(s_{2-)=\deltaT_{0}(s_{2+)."
879,17fcc808de.png,0,0,93.75,semantic_or_token_error,32,31,<<p_{0}-p>>_{i}=<<M_{D}u_{i}>>=0,<r_{0}-p>>_{i}=<<M_{D}u_{i}>>=0,<<p_{0-p>>_{i=<<M_{D}u_{i}>>=0,<r_{0-p>>_{i=<<M_{D}u_{i}>>=0
880,d123328969.png,1,1,100.0,exact,88,88,"\{g_{\mu\nu},\phi,B_{\mu\nu},C^{(3)}{}_{\mu\nu\rho},C^{(1)}{}_{\mu},\psi_{\mu},\lambda\}","\{g_{\mu\nu},\phi,B_{\mu\nu},C^{(3)}{}_{\mu\nu\rho},C^{(1)}{}_{\mu},\psi_{\mu},\lambda\}","\{g_{\mu\nu,\phi,B_{\mu\nu,C^{(3)}{_{\mu\nu\rho,C^{(1)}{_{\mu,\psi_{\mu,\lambda\}","\{g_{\mu\nu,\phi,B_{\mu\nu,C^{(3)}{_{\mu\nu\rho,C^{(1)}{_{\mu,\psi_{\mu,\lambda\}"
881,4c05c5f662.png,1,1,100.0,exact,57,57,"\eta_{-}=\eta_{a}-\eta_{b},\qquad\xi_{+}=\xi_{a}+\xi_{b}.","\eta_{-}=\eta_{a}-\eta_{b},\qquad\xi_{+}=\xi_{a}+\xi_{b}.","\eta_{-=\eta_{a-\eta_{b,\xi_{+=\xi_{a+\xi_{b}.","\eta_{-=\eta_{a-\eta_{b,\xi_{+=\xi_{a+\xi_{b}."
882,6ce758b2c7.png,1,1,100.0,exact,91,91,"{\calZ}(t)={\calZ}^{F_{0},\alpha_{0}}(t^{5}),\qquadZ_{3}^{F_{0}}=-1/2,\quad\alpha_{0}=12/5,","{\calZ}(t)={\calZ}^{F_{0},\alpha_{0}}(t^{5}),\qquadZ_{3}^{F_{0}}=-1/2,\quad\alpha_{0}=12/5,","{\calZ}(t)=\calZ^{F_{0,\alpha_{0}(t^{5),Z_3^{F_{0=-1/2,\alpha_{0=12/5,","{\calZ}(t)=\calZ^{F_{0,\alpha_{0}(t^{5),Z_3^{F_{0=-1/2,\alpha_{0=12/5,"
883,46a8ad086d.png,0,1,97.333,canonical_equivalent,146,150,"\phi_{mr}=\sum_{n=1}^{\infty}\left[\operatorname{ln}\left(\frac{\omega_{rn}+\omega_{m}\alpha_{r}}{n}\right)-\frac{\omega_{m}\alpha_{r}}{n}\right],","\phi_{mr}=\sum_{n=1}^{\infty}\left[\operatorname{ln}\left({\frac{\omega_{rn}+\omega_{m}\alpha_{r}}{n}}\right)-{\frac{\omega_{m}\alpha_{r}}{n}}\right],","\phi_{mr=\sum_{n=1^{\infty}[\operatorname{ln}(\frac{\omega_{rn+\omega_{m}\alpha_{r}{n)-\frac{\omega_{m}\alpha_{r}{n],","\phi_{mr=\sum_{n=1^{\infty}[\operatorname{ln}(\frac{\omega_{rn+\omega_{m}\alpha_{r}{n)-\frac{\omega_{m}\alpha_{r}{n],"
884,7903408830.png,1,1,100.0,exact,103,103,"F_{\mu\nu}^{a}=\partial_{\mu}A_{\nu}^{a}-\partial_{\nu}A_{\mu}^{a}+\alphaf^{abc}A_{\mu}^{b}A_{\nu}^{c},","F_{\mu\nu}^{a}=\partial_{\mu}A_{\nu}^{a}-\partial_{\nu}A_{\mu}^{a}+\alphaf^{abc}A_{\mu}^{b}A_{\nu}^{c},","F_{\mu\nu^{a=\partial_{\mu}A_\nu^{a-\partial_{\nu}A_\mu^{a+\alphaf^{abc}A_\mu^{b}A_\nu^{c,","F_{\mu\nu^{a=\partial_{\mu}A_\nu^{a-\partial_{\nu}A_\mu^{a+\alphaf^{abc}A_\mu^{b}A_\nu^{c,"
885,5ecf85ad43.png,1,1,100.0,exact,60,60,"Eq^{m}=\int_{V}d\tilde{\sigma}_{\mu}j_{\mu}^{m}(x,C)=EI(V,C)","Eq^{m}=\int_{V}d\tilde{\sigma}_{\mu}j_{\mu}^{m}(x,C)=EI(V,C)","Eq^{m=\int_{V}d\tilde\sigma_{\mu}j_\mu^{m}(x,C)=EI(V,C)","Eq^{m=\int_{V}d\tilde\sigma_{\mu}j_\mu^{m}(x,C)=EI(V,C)"
886,3974ae0081.png,0,1,96.46,canonical_equivalent,113,109,"G^{R}(k)={\frac{N^{2}k^{4}}{64\pi^{2}}}(\operatorname{ln}{|k^{2}|}-i\pi\,\theta(-k^{2})\,\mathrm{sgn}\,\omega)\,.","G^{R}(k)=\frac{N^{2}k^{4}}{64\pi^{2}}(\operatorname{ln}{|k^{2}|}-i\pi\,\theta(-k^{2})\mathrm{sgn}\,\omega)\,.",G^{R}(k)=\frac{N^{2}k^{4}{64\pi^{2}(\operatorname{ln}{|k^{2}|-i\pi\theta(-k^{2)\mathrm{sgn}\omega).,G^{R}(k)=\frac{N^{2}k^{4}{64\pi^{2}(\operatorname{ln}{|k^{2}|-i\pi\theta(-k^{2)\mathrm{sgn}\omega).
